Dates,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
03/01/2000,7.0000,,,,,,,,,,,
04/01/2000,7.0000,,,,,,,,,,,
05/01/2000,7.0000,,,,,,,,,,,
06/01/2000,7.0000,,,,,,,,,,,
07/01/2000,7.0000,,,,,,,,,,,
10/01/2000,7.0000,,,,,,,,,,,
11/01/2000,7.0000,,,,,,,,,,,
12/01/2000,7.0000,,,,,,,,,,,
13/01/2000,7.0000,4.0000,,,,,,,,,,
14/01/2000,7.0000,4.0000,,,,,,,,,,
17/01/2000,6.9800,4.0000,,,,,,,,,,
18/01/2000,6.9400,4.0000,,,,,,,,,,
19/01/2000,6.9400,4.0000,,,,,,,,,,
20/01/2000,6.9500,4.0000,,,,,,,,,,
21/01/2000,6.9400,4.0000,,,,,,,,,,
24/01/2000,6.9400,4.0000,,,,,,,,,,
25/01/2000,6.9400,4.0000,,,,,,,,,,
26/01/2000,6.9400,4.0000,,,,,,,,,,
27/01/2000,6.9800,4.0000,,,,,,,,,,
28/01/2000,6.9800,4.0000,,,,,,,,,,
31/01/2000,6.9400,4.0000,,,,,,,,,,
01/02/2000,6.9400,4.0000,,,,,,,,,,
02/02/2000,6.9400,4.0000,,,,,,,,,,
03/02/2000,6.9400,4.0000,,,,,,,,,,
04/02/2000,6.9300,4.1000,,,,,,,,,,
07/02/2000,6.9300,4.2000,,,,,,,,,,
08/02/2000,6.9300,4.2000,,,,,,,,,,
09/02/2000,6.9700,4.2000,,,,,,,,,,
10/02/2000,6.9700,4.2000,,,,,,,,,,
11/02/2000,6.9100,4.2000,,,,,,,,,,
14/02/2000,6.8800,4.2000,,,,,,,,,,
15/02/2000,6.8800,4.2000,,,,,,,,,,
16/02/2000,6.8800,4.2000,,,,,,,,,,
17/02/2000,6.8800,4.2000,,,,,,,,,,
18/02/2000,6.8000,4.2000,,,,,,,,,,
21/02/2000,6.8000,4.2000,,,,,,,,,,
22/02/2000,6.8000,4.2000,,,,,,,,,,
23/02/2000,6.7900,4.1000,,,,,,,,,,
24/02/2000,6.7900,4.1000,,,,,,,,,,
25/02/2000,6.7900,4.1000,,,,,,,,,,
28/02/2000,6.7900,4.1000,,,,,,,,,,
29/02/2000,6.7900,4.1000,,,,,,,,,,
01/03/2000,6.7300,4.1000,,,,,,,,,,
02/03/2000,6.6900,4.1300,,,,,,,,,,
03/03/2000,6.6000,4.0500,,,,,,,,,,
08/03/2000,6.6000,4.0500,,,,,,,,,,
09/03/2000,6.6000,4.0500,,,,,,,,,,
10/03/2000,6.6200,4.0500,,,,,,,,,,
