Dates,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
02/01/2008,4.3800,4.3000,4.0000,4.0000,4.0000,,,,,,,,,,
03/01/2008,4.3800,4.3000,4.0200,4.0000,4.0000,,,,,,,,,,
04/01/2008,4.3900,4.3000,4.0200,4.0000,4.0000,,,,,,,,,,
07/01/2008,4.3900,4.3000,4.0000,4.0000,4.0000,,,,,,,,,,
08/01/2008,4.4100,4.3000,4.0000,4.0000,4.0000,,,,,,,,,,
09/01/2008,4.4100,4.3000,4.0000,4.0000,4.0000,,,,,,,,,,
10/01/2008,4.4200,4.3000,4.0000,4.0000,4.0000,,,,,,,,,,
11/01/2008,,4.2900,4.0000,4.0000,4.0000,3.6500,,,,,,,,,
14/01/2008,,4.3200,4.0500,4.0000,4.0000,3.5000,,,,,,,,,
15/01/2008,,4.3300,4.1000,4.0000,4.0000,4.0000,,,,,,,,,
16/01/2008,,4.3300,4.1000,4.0000,4.0000,4.0000,,,,,,,,,
17/01/2008,,4.3300,4.1000,4.0000,4.0000,4.0000,,,,,,,,,
18/01/2008,,4.3700,4.1500,4.0000,4.0000,4.0000,,,,,,,,,
21/01/2008,,4.4100,4.1000,4.0000,4.0000,4.0000,,,,,,,,,
22/01/2008,,4.4200,4.1300,4.0000,4.0000,4.0000,,,,,,,,,
23/01/2008,,4.4300,4.1500,4.0000,4.0000,4.0000,,,,,,,,,
24/01/2008,,4.4400,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
25/01/2008,,4.4500,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
28/01/2008,,4.4500,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
29/01/2008,,4.4400,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
30/01/2008,,4.4400,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
31/01/2008,,4.4300,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
01/02/2008,,4.4400,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
06/02/2008,,4.4400,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
07/02/2008,,4.4300,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
08/02/2008,,4.4500,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
11/02/2008,,4.4200,4.2300,4.0000,4.0000,4.0000,,,,,,,,,
12/02/2008,,4.4200,4.2300,4.0000,4.0000,4.0000,,,,,,,,,
13/02/2008,,4.3400,4.2500,4.0000,4.0000,4.0000,,,,,,,,,
14/02/2008,,4.3500,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
15/02/2008,,4.3900,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
18/02/2008,,4.3900,4.2000,4.0000,4.0000,4.0000,,,,,,,,,
19/02/2008,,4.4100,4.2300,4.0000,4.0000,4.0000,,,,,,,,,
20/02/2008,,4.4100,4.2300,4.0000,4.0000,4.0000,,,,,,,,,
21/02/2008,,4.4100,4.2300,4.0000,4.0000,4.0000,,,,,,,,,
22/02/2008,,4.4000,4.2200,4.0000,4.0000,4.0000,,,,,,,,,
25/02/2008,,4.4000,4.2700,4.0000,4.0000,4.0000,,,,,,,,,
26/02/2008,,4.4100,4.3000,4.0000,4.0000,4.0000,,,,,,,,,
