Dates,2017,2018,2019,2020,2021,2022,2023,2024,2025
02/01/2018,2.7900,3.9600,4.2500,4.0000,4.0000,,,,
03/01/2018,2.7900,3.9500,4.2500,4.0000,4.0000,,,,
04/01/2018,2.7900,3.9500,4.2500,4.0000,4.0000,,,,
05/01/2018,2.7900,3.9500,4.2500,4.0000,4.0000,,,,
08/01/2018,2.7900,3.9500,4.2500,4.0000,4.0000,,,,
09/01/2018,2.7900,3.9500,4.2500,4.0000,4.0000,,,,
10/01/2018,,3.9400,4.2500,4.0000,4.0000,4.0000,,,
11/01/2018,,3.9400,4.2500,4.0000,4.0000,4.0500,,,
12/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
15/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
16/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
17/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
18/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
19/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
22/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
23/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
24/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
25/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
26/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
29/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
30/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
31/01/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
01/02/2018,,3.9500,4.2500,4.0000,4.0000,4.0000,,,
02/02/2018,,3.9400,4.2500,4.0000,4.0000,4.0000,,,
05/02/2018,,3.9400,4.2500,4.0000,4.0000,4.0000,,,
06/02/2018,,3.9400,4.2500,4.0000,4.0000,4.0000,,,
07/02/2018,,3.9400,4.2500,4.0000,4.0000,4.0000,,,
08/02/2018,,3.8400,4.2500,4.0000,4.0000,4.0000,,,
09/02/2018,,3.8400,4.2500,4.0000,4.0000,4.0000,,,
14/02/2018,,3.8400,4.2500,4.0000,4.0000,4.0000,,,
