Dates,Selic (ex swap),Selic (with swap),Exchange Rate (ex swap),Exchange Rate (with swap),Nominal,TR,Indice de Preços
7/1/1994,16.32300816,16.32300816,11.13809351,11.13809351,29.04738423,,
8/1/1994,18.82654182,18.82654182,10.46794991,10.46794991,32.93937048,,
9/1/1994,24.49733777,24.49733777,9.002592602,9.002592602,38.19095954,,
10/1/1994,24.6248674,24.6248674,9.418734191,9.418734191,38.7823967,,
11/1/1994,22.35046022,22.35046022,9.578000456,9.578000456,42.24044349,,
12/1/1994,15.91985524,15.91985524,12.34169364,12.34169364,53.15266159,,
1/1/1995,14.64641135,14.64641135,14.94610084,14.94610084,56.48980469,,
2/1/1995,18.09547392,18.09547392,13.09025305,13.09025305,56.88012245,,
3/1/1995,24.1406399,24.1406399,14.74095409,14.74095409,49.23555771,,
4/1/1995,24.636367,24.636367,13.55390926,13.55390926,45.91698735,,
5/1/1995,24.25858608,24.25858608,12.8301548,12.8301548,43.21603148,,
6/1/1995,25.72501118,25.72501118,15.40938277,15.40938277,43.72880036,,
7/1/1995,28.81399513,28.81399513,12.97883674,12.97883674,37.66125824,,
8/1/1995,38.58721755,38.58721755,9.428516499,9.428516499,35.25619635,,
9/1/1995,41.11836768,41.11836768,6.002621765,6.002621765,32.88968853,,
10/1/1995,40.70068702,40.70068702,5.999376736,5.999376736,33.61736514,,
11/1/1995,39.28950851,39.28950851,6.239875913,6.239875913,37.60231699,,
12/1/1995,38.9339813,38.9339813,5.441738515,5.441738515,44.00830273,,
1/1/1996,33.87024032,33.87024032,5.952646444,5.952646444,48.42714324,,
2/1/1996,30.27887039,30.27887039,6.120630851,6.120630851,49.50818008,,
3/1/1996,25.57503721,25.57503721,7.780662882,7.780662882,50.28704913,,
4/1/1996,23.61520978,23.61520978,8.715310615,8.715310615,50.88107343,,
5/1/1996,20.08080343,20.08080343,7.671147881,7.671147881,57.60500767,,
6/1/1996,18.86447112,18.86447112,8.024916262,8.024916262,59.95191871,,
7/1/1996,18.97518082,18.97518082,8.453704925,8.453704925,62.28919504,,
8/1/1996,18.89777778,18.89777778,7.685640501,7.685640501,62.45408135,,
9/1/1996,17.87592418,17.87592418,7.858382175,7.858382175,62.43314612,,
10/1/1996,19.22359181,19.22359181,8.291492079,8.291492079,63.23185906,,
11/1/1996,18.80217252,18.80217252,9.216490275,9.216490275,63.06854952,,
12/1/1996,18.99148413,18.99148413,9.575636842,9.575636842,62.25919108,,
1/1/1997,19.3502163,19.3502163,13.31944202,13.31944202,61.22997485,,
2/1/1997,18.78277621,18.78277621,13.1393985,13.1393985,57.7716015,,
3/1/1997,19.09781307,19.09781307,12.45079356,12.45079356,57.88178099,,
4/1/1997,19.8449446,19.8449446,11.28022134,11.28022134,59.64323183,,
5/1/1997,19.26439007,19.26439007,9.866878311,9.866878311,59.46247281,,
6/1/1997,19.66203546,19.66203546,9.414066359,9.414066359,60.89816609,,
7/1/1997,19.53771707,19.53771707,9.365245895,9.365245895,60.55723753,,
8/1/1997,19.19602172,19.19602172,9.11379457,9.11379457,61.16103958,,
9/1/1997,18.82283295,18.82283295,9.72055742,9.72055742,58.38012658,,
10/1/1997,19.62170522,19.62170522,12.96416497,12.96416497,56.2070127,,
11/1/1997,19.90763132,19.90763132,15.08627713,15.08627713,52.47691283,,
12/1/1997,35.1340908,35.1340908,15.51222175,15.51222175,41.32210254,,
1/1/1998,35.42458379,35.42458379,15.93313587,15.93313587,41.8695178,,
2/1/1998,31.15247743,31.15247743,15.48787969,15.48787969,43.80920102,,
3/1/1998,27.30988712,27.30988712,14.87648469,14.87648469,49.82753357,,
4/1/1998,23.53950961,23.53950961,16.7203936,16.7203936,53.11050945,,
5/1/1998,20.40709247,20.40709247,17.07054829,17.07054829,53.70254434,,
6/1/1998,41.90381904,41.90381904,16.16867015,16.16867015,34.45085038,,
7/1/1998,51.96579311,51.96579311,16.138351,16.138351,20.59790769,,
8/1/1998,60.86236085,60.86236085,19.04116709,19.04116709,12.81708054,,
9/1/1998,63.93425048,63.93425048,20.80333929,20.80333929,6.859551605,,
10/1/1998,60.93749634,60.93749634,19.41819714,19.41819714,6.126499777,,
11/1/1998,62.63358714,62.63358714,19.65012639,19.65012639,5.288552656,,
12/1/1998,70.63477558,70.63477558,20.80507465,20.80507465,1.67083884,,
1/1/1999,57.84661563,57.84661563,28.97603209,28.97603209,4.334904731,,
2/1/1999,55.07265151,55.07265151,27.14643232,27.14643232,4.636823024,,
3/1/1999,63.08413636,63.08413636,23.27132429,23.27132429,1.123999608,,
4/1/1999,64.10352731,64.10352731,23.41508435,23.41508435,2.853304259,,
5/1/1999,63.43069449,63.43069449,24.18853406,24.18853406,5.000829634,,
6/1/1999,62.01617346,62.01617346,23.23013262,23.23013262,7.890188021,,
7/1/1999,60.33969119,60.33969119,23.92854899,23.92854899,10.4889364,,
8/1/1999,57.59294251,57.59294251,25.54381373,25.54381373,11.44322824,,
9/1/1999,58.61121986,58.61121986,25.88651336,25.88651336,10.62358598,,
10/1/1999,57.97538161,57.97538161,26.47451103,26.47451103,11.46053776,,
11/1/1999,58.87324793,58.87324793,25.76877237,25.76877237,11.22334368,,
12/1/1999,61.07095309,61.07095309,24.16437415,24.16437415,9.160647634,,
1/1/2000,58.60231534,58.60231534,23.81016288,23.81016288,9.997398063,,
2/1/2000,58.84542539,58.84542539,22.9375767,22.9375767,11.01317153,,
3/1/2000,57.83509294,57.83509294,22.6155605,22.6155605,13.06586263,,
4/1/2000,53.9709436,53.9709436,21.61995509,21.61995509,13.77107065,,
5/1/2000,54.54389633,54.54389633,21.3416642,21.3416642,12.50072699,,
6/1/2000,54.20305013,54.20305013,20.90121793,20.90121793,13.1903488,,
7/1/2000,54.07216181,54.07216181,20.60566205,20.60566205,13.78895618,,
