Ref,Horizon,Mean,Establish_Date,Target,Range,Effective_Inflation
1/1/2000,2000,6.974761905,6/30/1999,6,2,5.97
1/1/2000,2001,4,6/30/1999,4,2,7.67
2/1/2000,2000,6.872857143,6/30/1999,6,2,5.97
2/1/2000,2001,4.142857143,6/30/1999,4,2,7.67
3/1/2000,2000,6.555238095,6/30/1999,6,2,5.97
3/1/2000,2001,4.049047619,6/30/1999,4,2,7.67
4/1/2000,2000,6.477894737,6/30/1999,6,2,5.97
4/1/2000,2001,4.168947368,6/30/1999,4,2,7.67
5/1/2000,2000,6.181363636,6/30/1999,6,2,5.97
5/1/2000,2001,4.460454545,6/30/1999,4,2,7.67
6/1/2000,2000,6.004761905,6/30/1999,6,2,5.97
6/1/2000,2001,4.283333333,6/30/1999,4,2,7.67
7/1/2000,2000,5.917142857,6/30/1999,6,2,5.97
7/1/2000,2001,4.232857143,6/30/1999,4,2,7.67
8/1/2000,2000,6.095217391,6/30/1999,6,2,5.97
8/1/2000,2001,4.247826087,6/30/1999,4,2,7.67
8/1/2000,2002,3.5,6/28/2000,3.5,2,12.53
9/1/2000,2000,6.3015,6/30/1999,6,2,5.97
9/1/2000,2001,4.3475,6/30/1999,4,2,7.67
9/1/2000,2002,3.535,6/28/2000,3.5,2,12.53
10/1/2000,2000,6.221904762,6/30/1999,6,2,5.97
10/1/2000,2001,4.3,6/30/1999,4,2,7.67
10/1/2000,2002,3.597619048,6/28/2000,3.5,2,12.53
11/1/2000,2000,6.175,6/30/1999,6,2,5.97
11/1/2000,2001,4.3,6/30/1999,4,2,7.67
11/1/2000,2002,3.7705,6/28/2000,3.5,2,12.53
12/1/2000,2000,6.0945,6/30/1999,6,2,5.97
12/1/2000,2001,4.31,6/30/1999,4,2,7.67
12/1/2000,2002,3.8045,6/28/2000,3.5,2,12.53
1/1/2001,2001,4.209090909,6/30/1999,4,2,7.67
1/1/2001,2002,3.811363636,6/28/2000,3.5,2,12.53
2/1/2001,2001,4.2,6/30/1999,4,2,7.67
2/1/2001,2002,3.736111111,6/28/2000,3.5,2,12.53
3/1/2001,2001,4.237272727,6/30/1999,4,2,7.67
3/1/2001,2002,3.679545455,6/28/2000,3.5,2,12.53
4/1/2001,2001,4.492,6/30/1999,4,2,7.67
