Data,Pre_LTN_12m
2000-04-01,19.47
2000-05-01,21.68
2000-06-01,19.54
2000-07-01,18.29
2000-08-01,17.25
2000-09-01,17.18
2000-10-01,17.43
2000-11-01,18.23
2000-12-01,17.37
2001-01-01,16.01
2001-02-01,16.03
2001-03-01,17.88
2001-04-01,20.82
2001-05-01,22.41
2001-06-01,22.40
2001-07-01,25.97
2001-08-01,25.21
2001-09-01,26.00
2001-10-01,25.66
2001-11-01,21.70
2001-12-01,21.43
2002-01-01,20.44
2002-02-01,20.07
2002-03-01,18.82
2002-04-01,19.10
2002-05-01,20.69
2002-06-01,26.04
2002-07-01,28.42
2002-08-01,28.80
2002-09-01,27.31
2002-10-01,31.86
2002-11-01,33.59
2002-12-01,32.20
2003-01-01,28.12
2003-02-01,29.68
2003-03-01,28.14
2003-04-01,25.64
2003-05-01,23.59
2003-06-01,22.72
2003-07-01,21.36
2003-08-01,21.27
2003-09-01,18.85
2003-10-01,18.01
2003-11-01,17.36
2003-12-01,15.94
2004-01-01,15.49
2004-02-01,15.65
2004-03-01,15.55
2004-04-01,15.67
2004-05-01,17.78
2004-06-01,18.18
2004-07-01,17.26
2004-08-01,18.02
2004-09-01,18.17
2004-10-01,17.90
2004-11-01,18.30
2004-12-01,18.06
2005-01-01,18.53
2005-02-01,19.04
2005-03-01,19.01
2005-04-01,19.44
2005-05-01,19.19
2005-06-01,18.66
2005-07-01,18.35
2005-08-01,18.45
2005-09-01,18.29
2005-10-01,18.06
2005-11-01,17.48
2005-12-01,16.80
2006-01-01,16.30
2006-02-01,15.67
2006-03-01,15.09
2006-04-01,14.81
2006-05-01,15.01
2006-06-01,15.30
2006-07-01,14.68
2006-08-01,14.40
2006-09-01,13.84
2006-10-01,13.38
2006-11-01,13.02
2006-12-01,12.64
2007-01-01,12.45
2007-02-01,12.24
2007-03-01,12.05
2007-04-01,11.72
2007-05-01,11.15
2007-06-01,10.93
2007-07-01,10.84
2007-08-01,11.35
2007-09-01,11.35
2007-10-01,11.28
2007-11-01,11.47
2007-12-01,11.84
2008-01-01,12.06
2008-02-01,11.98
2008-03-01,12.32
2008-04-01,12.89
2008-05-01,13.72
2008-06-01,14.13
2008-07-01,14.60
2008-08-01,14.64
2008-09-01,14.74
2008-10-01,14.90
2008-11-01,15.14
2008-12-01,13.07
2009-01-01,11.67
2009-02-01,11.11
2009-03-01,10.24
2009-04-01,9.96
2009-05-01,9.65
2009-06-01,9.38
2009-07-01,9.18
2009-08-01,9.21
2009-09-01,9.40
2009-10-01,9.96
2009-11-01,9.96
2009-12-01,10.32
2010-01-01,10.45
2010-02-01,10.53
2010-03-01,10.82
2010-04-01,11.12
2010-05-01,11.70
2010-06-01,11.77
2010-07-01,11.62
2010-08-01,11.26
2010-09-01,11.26
2010-10-01,11.31
2010-11-01,11.62
2010-12-01,12.11
2011-01-01,12.39
2011-02-01,12.57
2011-03-01,12.57
2011-04-01,12.49
2011-05-01,12.52
2011-06-01,12.55
2011-07-01,12.67
2011-08-01,12.03
2011-09-01,10.86
2011-10-01,10.47
2011-11-01,10.08
2011-12-01,9.93
2012-01-01,10.06
2012-02-01,9.45
2012-03-01,9.11
2012-04-01,8.79
2012-05-01,8.13
2012-06-01,7.88
2012-07-01,7.55
2012-08-01,7.57
2012-09-01,7.61
2012-10-01,7.37
2012-11-01,7.29
2012-12-01,7.09
2013-01-01,7.18
2013-02-01,7.59
2013-03-01,7.98
2013-04-01,8.10
2013-05-01,8.21
2013-06-01,9.23
2013-07-01,9.21
2013-08-01,9.73
2013-09-01,10.14
2013-10-01,10.27
2013-11-01,10.78
2013-12-01,10.70
2014-01-01,10.99
2014-02-01,11.53
2014-03-01,11.42
2014-04-01,11.41
2014-05-01,11.36
2014-06-01,11.10
2014-07-01,10.97
2014-08-01,11.22
2014-09-01,11.46
2014-10-01,11.90
2014-11-01,12.36
2014-12-01,12.73
2015-01-01,12.76
2015-02-01,13.07
2015-03-01,13.57
2015-04-01,13.40
2015-05-01,13.72
2015-06-01,14.13
2015-07-01,14.02
2015-08-01,14.11
2015-09-01,15.09
2015-10-01,15.35
2015-11-01,15.26
2015-12-01,15.74
2016-01-01,15.31
2016-02-01,14.28
2016-03-01,13.68
2016-04-01,13.36
2016-05-01,13.25
2016-06-01,13.10
2016-07-01,13.19
2016-08-01,13.12
2016-09-01,12.81
2016-10-01,12.35
2016-11-01,12.35
2016-12-01,11.81
2017-01-01,11.09
2017-02-01,10.49
2017-03-01,9.80
2017-04-01,9.41
2017-05-01,9.20
2017-06-01,8.99
2017-07-01,8.39
2017-08-01,7.81
2017-09-01,7.34
2017-10-01,7.11
2017-11-01,7.11
2017-12-01,6.92
2018-01-01,6.86
2018-02-01,6.79
2018-03-01,6.50
2018-04-01,6.31
2018-05-01,6.68
2018-06-01,7.67
2018-07-01,7.47
2018-08-01,7.66
2018-09-01,8.01
2018-10-01,7.37
2018-11-01,6.90
2018-12-01,6.68
2019-01-01,6.56
2019-02-01,6.48
2019-03-01,6.50
2019-04-01,6.54
2019-05-01,6.45
2019-06-01,5.98
2019-07-01,5.53
2019-08-01,5.35
2019-09-01,5.10
2019-10-01,4.54
2019-11-01,4.55
2019-12-01,4.60
2020-01-01,4.44
2020-02-01,4.29
2020-03-01,4.00
2020-04-01,3.15
2020-05-01,2.76
2020-06-01,2.46
2020-07-01,2.44
2020-08-01,2.41
2020-09-01,2.61
2020-10-01,3.09
2020-11-01,3.21
2020-12-01,3.01
