"","Ref","President"
"1",1999-03-01,"Arminio"
"2",1999-04-01,"Arminio"
"3",1999-05-01,"Arminio"
"4",1999-06-01,"Arminio"
"5",1999-07-01,"Arminio"
"6",1999-08-01,"Arminio"
"7",1999-09-01,"Arminio"
"8",1999-10-01,"Arminio"
"9",1999-11-01,"Arminio"
"10",1999-12-01,"Arminio"
"11",2000-01-01,"Arminio"
"12",2000-02-01,"Arminio"
"13",2000-03-01,"Arminio"
"14",2000-04-01,"Arminio"
"15",2000-05-01,"Arminio"
"16",2000-06-01,"Arminio"
"17",2000-07-01,"Arminio"
"18",2000-08-01,"Arminio"
"19",2000-09-01,"Arminio"
"20",2000-10-01,"Arminio"
"21",2000-11-01,"Arminio"
"22",2000-12-01,"Arminio"
"23",2001-01-01,"Arminio"
"24",2001-02-01,"Arminio"
"25",2001-03-01,"Arminio"
"26",2001-04-01,"Arminio"
"27",2001-05-01,"Arminio"
"28",2001-06-01,"Arminio"
"29",2001-07-01,"Arminio"
"30",2001-08-01,"Arminio"
"31",2001-09-01,"Arminio"
"32",2001-10-01,"Arminio"
"33",2001-11-01,"Arminio"
"34",2001-12-01,"Arminio"
"35",2002-01-01,"Arminio"
"36",2002-02-01,"Arminio"
"37",2002-03-01,"Arminio"
"38",2002-04-01,"Arminio"
"39",2002-05-01,"Arminio"
"40",2002-06-01,"Arminio"
"41",2002-07-01,"Arminio"
"42",2002-08-01,"Arminio"
"43",2002-09-01,"Arminio"
"44",2002-10-01,"Arminio"
"45",2002-11-01,"Arminio"
"46",2002-12-01,"Arminio"
"47",2003-03-01,"Meirelles"
"48",2003-04-01,"Meirelles"
"49",2003-05-01,"Meirelles"
"50",2003-06-01,"Meirelles"
"51",2003-07-01,"Meirelles"
"52",2003-08-01,"Meirelles"
"53",2003-09-01,"Meirelles"
"54",2003-10-01,"Meirelles"
"55",2003-11-01,"Meirelles"
"56",2003-12-01,"Meirelles"
"57",2004-01-01,"Meirelles"
"58",2004-02-01,"Meirelles"
"59",2004-03-01,"Meirelles"
